Date,Open,High,Low,Close,Adj Close,Volume
2021-12-11,1.514537,1.582003,1.497783,1.562276,1.562276,9033576
2021-12-12,1.560040,1.651900,1.541501,1.592317,1.592317,7286859
2021-12-13,1.592982,1.597890,1.309393,1.340901,1.340901,13199500
2021-12-14,1.341811,1.383083,1.267105,1.318694,1.318694,11573704
2021-12-15,1.382598,1.537076,1.359020,1.493274,1.493274,13044021
2021-12-16,1.493863,1.615212,1.442835,1.452002,1.452002,14691216
2021-12-17,1.453714,1.534261,1.405531,1.494635,1.494635,7838220
2021-12-18,1.495357,1.543782,1.464190,1.531641,1.531641,11210912
2021-12-19,1.531996,1.535683,1.427119,1.478793,1.478793,11327427
2021-12-20,1.478483,1.487674,1.356749,1.399166,1.399166,10677112
2021-12-21,1.398523,1.530542,1.374710,1.508978,1.508978,6102512
2021-12-22,1.508873,1.654684,1.455517,1.606255,1.606255,23271191
2021-12-23,1.608330,1.693816,1.521985,1.687478,1.687478,11952404
2021-12-24,1.687299,1.882261,1.683990,1.747863,1.747863,17465289
2021-12-25,1.745822,1.756399,1.688421,1.712785,1.712785,6376731
2021-12-26,1.711937,1.744602,1.670731,1.679823,1.679823,5970668
2021-12-27,1.679621,1.767525,1.679127,1.718478,1.718478,6486867
2021-12-28,1.717465,1.813500,1.630661,1.669322,1.669322,17823402
2021-12-29,1.669177,1.675524,1.505882,1.520678,1.520678,7263269
2021-12-30,1.524372,1.546014,1.458373,1.481765,1.481765,10188434
2021-12-31,1.481358,1.636323,1.480533,1.569420,1.569420,9968264
2022-01-01,1.569588,1.616990,1.521613,1.578860,1.578860,5857316
2022-01-02,1.578683,1.615196,1.550402,1.562951,1.562951,5161653
2022-01-03,1.563185,1.575165,1.495954,1.534889,1.534889,5511007
2022-01-04,1.535168,1.538752,1.440570,1.457779,1.457779,7683457
2022-01-05,1.457706,1.469135,1.323103,1.357724,1.357724,8390922
2022-01-06,1.357450,1.413795,1.307531,1.404991,1.404991,9299792
2022-01-07,1.404902,1.439790,1.267310,1.271309,1.271309,7448094
2022-01-08,1.272430,1.354300,1.207121,1.222575,1.222575,7111407
2022-01-09,1.222491,1.277485,1.203282,1.246320,1.246320,6087529
2022-01-10,1.246408,1.254348,1.075653,1.139382,1.139382,9655859
2022-01-11,1.139442,1.230846,1.112916,1.226996,1.226996,6506703
2022-01-12,1.227010,1.445100,1.222418,1.352411,1.352411,13568914
2022-01-13,1.352730,1.429013,1.295824,1.301360,1.301360,8143439
2022-01-14,1.301176,1.336957,1.268958,1.300907,1.300907,6240446
2022-01-15,1.301064,1.379243,1.286054,1.352559,1.352559,4511261
2022-01-16,1.352297,1.365143,1.285145,1.315966,1.315966,5324879
2022-01-17,1.315687,1.318095,1.211698,1.228484,1.228484,4242147
2022-01-18,1.228788,1.255668,1.155026,1.236590,1.236590,7192239
2022-01-19,1.236376,1.248375,1.155326,1.175836,1.175836,5239379
2022-01-20,1.176244,1.269829,1.147867,1.151973,1.151973,6133470
2022-01-21,1.151638,1.151638,0.897303,0.917075,0.917075,13960790
2022-01-22,0.917483,0.920675,0.754122,0.811502,0.811502,8011191
2022-01-23,0.811678,0.929035,0.805453,0.898111,0.898111,5795647
2022-01-24,0.898568,0.932401,0.789069,0.888879,0.888879,8625032
2022-01-25,0.889649,1.027035,0.860529,0.999763,0.999763,8857738
2022-01-26,0.999862,1.102620,0.988105,1.025838,1.025838,13897365
2022-01-27,1.025350,1.078999,0.961979,1.000025,1.000025,7357831
2022-01-28,0.999611,1.051839,0.962974,1.044997,1.044997,4296734
2022-01-29,1.045042,1.069913,1.015481,1.047862,1.047862,3359763
2022-01-30,1.047998,1.130444,1.036719,1.078397,1.078397,8935490
2022-01-31,1.078402,1.088266,1.011570,1.084983,1.084983,5873621
2022-02-01,1.084745,1.148706,1.081982,1.145941,1.145941,4919216
2022-02-02,1.146079,1.148271,1.042578,1.044041,1.044041,7535972
2022-02-03,1.044885,1.083589,1.001501,1.083589,1.083589,5104029
2022-02-04,1.083348,1.171833,1.049320,1.171681,1.171681,9670183
2022-02-05,1.171191,1.182022,1.130674,1.141503,1.141503,6593949
2022-02-06,1.141048,1.187298,1.138697,1.186196,1.186196,5072630
2022-02-07,1.186028,1.347417,1.170018,1.302988,1.302988,10924643
2022-02-08,1.302581,1.340725,1.222066,1.272936,1.272936,9809658
2022-02-09,1.272490,1.315451,1.255700,1.293331,1.293331,5735361
2022-02-10,1.292989,1.316479,1.203525,1.213032,1.213032,6289945
2022-02-11,1.212884,1.245671,1.102504,1.107148,1.107148,5999535
2022-02-12,1.103832,1.118409,0.959746,1.035668,1.035668,8882897
2022-02-13,1.035889,1.069049,1.005111,1.011592,1.011592,3488110
2022-02-14,1.011164,1.043622,0.979838,1.037623,1.037623,4849027
2022-02-15,1.037718,1.327629,1.037718,1.327629,1.327629,10150074
2022-02-16,1.326946,1.433940,1.257715,1.420622,1.420622,24512111
2022-02-17,1.420607,1.438246,1.238321,1.242338,1.242338,17563496
2022-02-18,1.242940,1.345705,1.161762,1.184571,1.184571,11530868
2022-02-19,1.184741,1.215400,1.159490,1.161716,1.161716,5374243
2022-02-20,1.161798,1.172492,1.101916,1.123680,1.123680,5168830
2022-02-21,1.123355,1.341804,1.122118,1.126803,1.126803,22783447
2022-02-22,1.128586,1.262302,1.093617,1.255373,1.255373,11169756
2022-02-23,1.256962,1.321022,1.198074,1.202189,1.202189,9015968
2022-02-24,1.202497,1.269635,0.983162,1.161464,1.161464,23145984
2022-02-25,1.161551,1.267644,1.152403,1.245173,1.245173,7292097
2022-02-26,1.244915,1.277638,1.201522,1.211082,1.211082,4429097
2022-02-27,1.210690,1.300859,1.167925,1.173477,1.173477,6420586
2022-02-28,1.173376,1.332033,1.163511,1.319881,1.319881,8133317
2022-03-01,1.320086,1.369101,1.287097,1.359203,1.359203,8424728
2022-03-02,1.359256,1.377862,1.316197,1.373973,1.373973,7483731
2022-03-03,1.374822,1.419750,1.342726,1.408327,1.408327,9555700
2022-03-04,1.408049,1.408049,1.236674,1.255694,1.255694,6879022
2022-03-05,1.256162,1.296861,1.243059,1.280399,1.280399,3176796
2022-03-06,1.280765,1.296786,1.206119,1.206119,1.206119,4304099
2022-03-07,1.205909,1.229737,1.149857,1.180717,1.180717,5073410
2022-03-08,1.180773,1.219519,1.172789,1.191880,1.191880,2929528
2022-03-09,1.191943,1.266142,1.185311,1.222736,1.222736,6409269
2022-03-10,1.222621,1.223862,1.156805,1.191471,1.191471,4843271
